frame,time_s,detected,mean_visibility,num_visible,nose_visibility,nose_x,nose_y,nose_z,left_shoulder_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_visibility,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_visibility,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_visibility,left_hip_x,left_hip_y,left_hip_z,right_hip_visibility,right_hip_x,right_hip_y,right_hip_z,left_knee_visibility,left_knee_x,left_knee_y,left_knee_z,right_knee_visibility,right_knee_x,right_knee_y,right_knee_z,left_ankle_visibility,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z
35,1.1666666666666667,1,0.48819225252820897,6,0.9953659176826477,0.5365037103295326,0.7147277690172195,-1.4253314262628554,0.9514673948287964,0.6646454212665557,0.7890362882018088,-0.7172395983934401,0.9800814986228943,0.45233294001221647,0.9461403497457502,-0.7802851501107215,0.43874797224998474,,,,0.5429356098175049,0.4205917131453752,1.1897146266102792,-1.0736564776301383,0.4111052453517914,,,,0.48638492822647095,,,,0.506137490272522,0.7552793897390364,1.4210202516317367,0.03685500006563962,0.5731691718101501,0.5910076002776622,1.5028785608410833,-0.030764371059834955,0.08210881799459457,,,,0.1688310205936432,,,,0.04523022100329399,,,,0.16493399441242218,,,
36,1.2,1,0.4747153279873041,5,0.9956833124160767,0.5336450364053249,0.7262790389895437,-1.521962848126888,0.9484687447547913,0.6771047864675521,0.8412081281721591,-0.7735748449683189,0.9790782928466797,0.412943083462119,0.9527963405728339,-0.8224135788381098,0.43244338035583496,,,,0.5271287560462952,0.3543839000746607,1.2374560289561747,-1.183974972039461,0.4065581262111664,,,,0.4825129806995392,,,,0.4560650587081909,,,,0.5165136456489563,0.53101045294106,1.6469757655799389,-0.03309983753338456,0.07782106101512909,,,,0.1558094024658203,,,,0.042595550417900085,,,,0.1506209522485733,,,
37,1.2333333333333334,1,0.4747153279873041,5,0.9956833124160767,0.5316439646583795,0.7343649279701707,-1.589604843431711,0.9484687447547913,0.6858263421082496,0.8777284161514043,-0.8130095175707339,0.9790782928466797,0.38537018387705074,0.9574555341517923,-0.8519034789472817,0.43244338035583496,,,,0.5271287560462952,0.3080384309251606,1.2708750105983015,-1.261197918125987,0.4065581262111664,,,,0.4825129806995392,,,,0.4560650587081909,,,,0.5165136456489563,0.4890124498054384,1.7478438088971378,-0.03473466406486928,0.07782106101512909,,,,0.1558094024658203,,,,0.042595550417900085,,,,0.1506209522485733,,,
38,1.2666666666666666,1,0.4417783460364892,3,0.9962676763534546,0.5305653298568128,0.7431011684874295,-1.7230657737869022,0.9285703301429749,0.6923962757604121,0.9042749857292771,-0.8881779909394978,0.9598629474639893,0.36592603149446834,0.9616275974990127,-0.9330609604248403,0.4093135595321655,,,,0.4872884452342987,,,,0.36513715982437134,,,,0.43691009283065796,,,,0.37136173248291016,,,,0.42032507061958313,,,,0.0714288279414177,,,,0.13407912850379944,,,,0.03722425922751427,,,,0.1253492683172226,,,
39,1.3,1,0.4310778216100656,3,0.9963697195053101,0.530188763069111,0.7504515331683277,-1.8128278892231582,0.9296082854270935,0.6971862920057533,0.9231307048370778,-0.9267643928710578,0.9578326344490051,0.3522992819120793,0.9650429809308885,-0.9730684454411564,0.4047885239124298,,,,0.46945902705192566,,,,0.35936716198921204,,,,0.43444114923477173,,,,0.3347800374031067,,,,0.3788520097732544,,,,0.06707297265529633,,,,0.12290547788143158,,,,0.03458968177437782,,,,0.11394499987363815,,,
40,1.3333333333333333,1,0.4310778216100656,3,0.9963697195053101,0.5299251663177198,0.7555967884449564,-1.8756613700285372,0.9296082854270935,0.7005393033774923,0.9363297082125382,-0.9537748742231499,0.9578326344490051,0.342760557204407,0.9674337493332015,-1.0010736849525779,0.4047885239124298,,,,0.46945902705192566,,,,0.35936716198921204,,,,0.43444114923477173,,,,0.3347800374031067,,,,0.3788520097732544,,,,0.06707297265529633,,,,0.12290547788143158,,,,0.03458968177437782,,,,0.11394499987363815,,,
41,1.3666666666666667,1,0.4092025445917478,3,0.9966779351234436,0.531123577678431,0.7616028887065134,-1.8905724861310294,0.9394293427467346,0.703995111374712,0.9464258690672582,-0.977066192397489,0.9626419544219971,0.33593838710481433,0.9696808329091717,-1.0235424167547071,0.39115849137306213,,,,0.45083120465278625,,,,0.3192019462585449,,,,0.38940125703811646,,,,0.27314871549606323,,,,0.30902913212776184,,,,0.05865778401494026,,,,0.10388211905956268,,,,0.03037758357822895,,,,0.09519561380147934,,,
42,1.4,1,0.40118082254551923,3,0.9968464970588684,0.532137184726159,0.7658092152498479,-1.8966975971719084,0.938109278678894,0.706727566274066,0.9545282818871961,-0.97821441825063,0.9612727761268616,0.3311408292176937,0.9710658758487676,-1.0269738523804555,0.3836306631565094,,,,0.4452323019504547,,,,0.30566322803497314,,,,0.38043028116226196,,,,0.24859963357448578,,,,0.28146907687187195,,,,0.05815446004271507,,,,0.09865667670965195,,,,0.029027851298451424,,,,0.08825796842575073,,,
43,1.4333333333333333,1,0.40118082254551923,3,0.9968464970588684,0.5328467096595686,0.7687536438301821,-1.9009851749005238,0.938109278678894,0.7086402847036137,0.9601999708611526,-0.9790181763478287,0.9612727761268616,0.3277825386967093,0.9720354059064846,-1.0293758573184792,0.3836306631565094,,,,0.4452323019504547,,,,0.30566322803497314,,,,0.38043028116226196,,,,0.24859963357448578,,,,0.28146907687187195,,,,0.05815446004271507,,,,0.09865667670965195,,,,0.029027851298451424,,,,0.08825796842575073,,,
44,1.4666666666666666,1,0.383994424285797,3,0.9969033002853394,0.5340105319019263,0.7733386131124629,-1.9104460969253005,0.9393534660339355,0.7105138591493259,0.9658277940769127,-1.0107259743666368,0.9607253074645996,0.3255593995404324,0.9742769464956842,-1.0583391173119614,0.3760519325733185,,,,0.4309820532798767,,,,0.2716286778450012,,,,0.33875513076782227,,,,0.20587626099586487,,,,0.23219770193099976,,,,0.05384121090173721,,,,0.0852765366435051,,,,0.02632814273238182,,,,0.0740077942609787,,,
45,1.5,1,0.3761164593295409,3,0.9970316886901855,0.5351290838715705,0.7765549938279244,-1.969032572336846,0.9413770437240601,0.712202676544146,0.9698885777009915,-1.0632303948480886,0.9585791230201721,0.323985696246868,0.9758839155808077,-1.1099471795960951,0.3737477958202362,,,,0.42047443985939026,,,,0.2575295567512512,,,,0.31845951080322266,,,,0.18719296157360077,,,,0.2109559327363968,,,,0.05155821144580841,,,,0.079525426030159,,,,0.024840952828526497,,,,0.06824132800102234,,,
46,1.5333333333333334,1,0.3761164593295409,3,0.9970316886901855,0.5359120702503215,0.7788064603287475,-2.010043105124928,0.9413770437240601,0.7133848487205201,0.9727311262378466,-1.0999834891851048,0.9585791230201721,0.32288410394137296,0.977008793940394,-1.1460728231949886,0.3737477958202362,,,,0.42047443985939026,,,,0.2575295567512512,,,,0.31845951080322266,,,,0.18719296157360077,,,,0.2109559327363968,,,,0.05155821144580841,,,,0.079525426030159,,,,0.024840952828526497,,,,0.06824132800102234,,,
47,1.5666666666666667,1,0.37615130497859073,3,0.9975011944770813,0.536623131735192,0.7790873196716057,-1.9651355350490889,0.9493060111999512,0.7143879287647034,0.9756167322618325,-1.0761889586534807,0.9630010724067688,0.32237538983545333,0.9781829654506585,-1.1134427973348195,0.39719536900520325,,,,0.44357001781463623,,,,0.2571745812892914,,,,0.35313037037849426,,,,0.15402792394161224,,,,0.1735236942768097,,,,0.04934649541974068,,,,0.07031340897083282,,,,0.023313798010349274,,,,0.058563027530908585,,,
48,1.6,1,0.37040684615763336,3,0.9976202845573425,0.5373816033722424,0.7790443999465766,-1.9819213115308223,0.9498361349105835,0.716331947569527,0.9794832858598026,-1.1002995390475487,0.9615110754966736,0.3218510707525923,0.9793754237425545,-1.139518584023198,0.39246323704719543,,,,0.44006919860839844,,,,0.24480502307415009,,,,0.33627212047576904,,,,0.1408025622367859,,,,0.15844304859638214,,,,0.049210842698812485,,,,0.06695324182510376,,,,0.022667886689305305,,,,0.05463434383273125,,,
49,1.6333333333333333,1,0.37040684615763336,3,0.9976202845573425,0.5379125335181777,0.7790143561390561,-1.9936713550680354,0.9498361349105835,0.7176927607329036,0.9821898733783816,-1.1171769453233964,0.9615110754966736,0.3214840473945895,0.9802101445468816,-1.157771634705063,0.39246323704719543,,,,0.44006919860839844,,,,0.24480502307415009,,,,0.33627212047576904,,,,0.1408025622367859,,,,0.15844304859638214,,,,0.049210842698812485,,,,0.06695324182510376,,,,0.022667886689305305,,,,0.05463434383273125,,,
50,1.6666666666666667,1,0.3581953491442479,3,0.9978822469711304,0.5378034433578964,0.7797343840618198,-2.089655546539568,0.9404211640357971,0.7182380096862655,0.9828701770947712,-1.1759514597259502,0.9578127861022949,0.3212050385824016,0.9778174832056747,-1.2132029745509598,0.37478509545326233,,,,0.4250602722167969,,,,0.22346457839012146,,,,0.30859512090682983,,,,0.11923091113567352,,,,0.13362491130828857,,,,0.047800108790397644,,,,0.06055142730474472,,,,0.02071474678814411,,,,0.04659616947174072,,,
51,1.7,1,0.35725214776511377,3,0.9980106353759766,0.5370499476391932,0.7803825991643951,-2.1244348126008905,0.9403265714645386,0.7180484986032007,0.9836582769604958,-1.1932615489802538,0.9566330909729004,0.3209889184719145,0.9755394808663478,-1.2316491633128386,0.3779763877391815,,,,0.42254409193992615,,,,0.2210724949836731,,,,0.3010457754135132,,,,0.11498744785785675,,,,0.1277305632829666,,,,0.054072845727205276,,,,0.06270147114992142,,,,0.02170693688094616,,,,0.045469608157873154,,,
52,1.7333333333333334,1,0.35725214776511377,3,0.9980106353759766,0.536522500636101,0.7808363497361978,-2.1487802988438167,0.9403265714645386,0.7179158408450554,0.9842099468665029,-1.2053786114582663,0.9566330909729004,0.3208376343945736,0.9739448792288189,-1.2445614954461537,0.3779763877391815,,,,0.42254409193992615,,,,0.2210724949836731,,,,0.3010457754135132,,,,0.11498744785785675,,,,0.1277305632829666,,,,0.054072845727205276,,,,0.06270147114992142,,,,0.02170693688094616,,,,0.045469608157873154,,,
53,1.7666666666666666,1,0.3511319841043307,3,0.9982152581214905,0.5365705679310799,0.7821115416361697,-2.1937407879336526,0.9430744647979736,0.7163380737409223,0.9853394095629149,-1.2552358465403786,0.9559438824653625,0.3200547281036826,0.9735678748870531,-1.3132850005667327,0.3701847493648529,,,,0.42029547691345215,,,,0.207802876830101,,,,0.2799660861492157,,,,0.10401695966720581,,,,0.11323016881942749,,,,0.05421174317598343,,,,0.05797773599624634,,,,0.020520063117146492,,,,0.039276327937841415,,,
54,1.8,1,0.3511319841043307,3,0.9982152581214905,0.5366042150375653,0.78300417596615,-2.2252131302965377,0.9430744647979736,0.7152336367680291,0.9861300334504033,-1.2901359110978572,0.9559438824653625,0.31950669370005885,0.973303971847817,-1.3613914541511378,0.3701847493648529,,,,0.42029547691345215,,,,0.207802876830101,,,,0.2799660861492157,,,,0.10401695966720581,,,,0.11323016881942749,,,,0.05421174317598343,,,,0.05797773599624634,,,,0.020520063117146492,,,,0.039276327937841415,,,
55,1.8333333333333333,1,0.343964921310544,3,0.9984041452407837,0.536445449324666,0.7836040754532977,-2.1862114270397908,0.9421263933181763,0.714375969777461,0.9935497285544423,-1.2652505752379823,0.9513808488845825,0.3191569816801672,0.9732200192537379,-1.33127957229575,0.36060744524002075,,,,0.4052203595638275,,,,0.19645249843597412,,,,0.25494176149368286,,,,0.09490954130887985,,,,0.10010731220245361,,,,0.057390544563531876,,,,0.05674776807427406,,,,0.019318172708153725,,,,0.03393718600273132,,,
56,1.8666666666666667,1,0.33847251161932945,3,0.998491644859314,0.5366047515199115,0.784960024514925,-2.1717761834371307,0.941835343837738,0.7134803631970974,0.9935327697926445,-1.2555272064461898,0.9496328234672546,0.31949181757505807,0.9735181650507976,-1.3185456430050961,0.3499326705932617,,,,0.3864564895629883,,,,0.18955299258232117,,,,0.24155113101005554,,,,0.09021354466676712,,,,0.09392508119344711,,,,0.05547120422124863,,,,0.05344928056001663,,,,0.01834026351571083,,,,0.03129018098115921,,,
57,1.9,1,0.33847251161932945,3,0.998491644859314,0.5367162630565833,0.785909188858064,-2.1616715129152686,0.941835343837738,0.7128534385908429,0.993520898659386,-1.2487208482919347,0.9496328234672546,0.31972620270148167,0.9737268671087393,-1.3096318925016384,0.3499326705932617,,,,0.3864564895629883,,,,0.18955299258232117,,,,0.24155113101005554,,,,0.09021354466676712,,,,0.09392508119344711,,,,0.05547120422124863,,,,0.05344928056001663,,,,0.01834026351571083,,,,0.03129018098115921,,,
58,1.9333333333333333,1,0.33136074603177035,3,0.9986374378204346,0.5368870182758082,0.786667123585914,-2.1694836452757342,0.9339583516120911,0.7111490893904516,0.9913301826790475,-1.2583860383539147,0.9390537142753601,0.3195995655362474,0.9739543188894171,-1.3191314696486076,0.32947152853012085,,,,0.3697287440299988,,,,0.17694315314292908,,,,0.2224423587322235,,,,0.09097908437252045,,,,0.08752667903900146,,,,0.061483234167099,,,,0.051251206547021866,,,,0.018828503787517548,,,,0.02738570235669613,,,
59,1.9666666666666666,1,0.32793152074401194,3,0.9987005591392517,0.5366654951123253,0.787182514473778,-2.1521889095116173,0.9329489469528198,0.7102771947762275,0.990126575320249,-1.248906425463768,0.9393354058265686,0.31953018672200706,0.9732123665510679,-1.3087743949344453,0.3230190873146057,,,,0.36023956537246704,,,,0.1714586466550827,,,,0.2114894986152649,,,,0.08933473378419876,,,,0.08460958302021027,,,,0.06005147844552994,,,,0.0489455871284008,,,,0.017837436869740486,,,,0.02513924054801464,,,
60,2.0,1,0.32793152074401194,3,0.9987005591392517,0.5365104288978872,0.7875432880952828,-2.1400825944767354,0.9329489469528198,0.7096668685462706,0.98928405016909,-1.2422706964406653,0.9393354058265686,0.31948162155203885,0.9726929999142235,-1.3015244426345316,0.3230190873146057,,,,0.36023956537246704,,,,0.1714586466550827,,,,0.2114894986152649,,,,0.08933473378419876,,,,0.08460958302021027,,,,0.06005147844552994,,,,0.0489455871284008,,,,0.017837436869740486,,,,0.02513924054801464,,,
61,2.033333333333333,1,0.3227878310359441,3,0.9988056421279907,0.5369785396045892,0.7879901467327685,-2.1911213852026235,0.9314560294151306,0.7088642918557566,0.9867773793059087,-1.2593098082100647,0.9350205659866333,0.3193586481193404,0.9714547570272825,-1.3407549197883248,0.309818297624588,,,,0.3503260016441345,,,,0.1589466631412506,,,,0.19204507768154144,,,,0.08842933923006058,,,,0.07998567074537277,,,,0.06303533911705017,,,,0.04855338856577873,,,,0.017514251172542572,,,,0.02230553701519966,,,
62,2.066666666666667,1,0.32073233376901883,3,0.9988183379173279,0.537452969695182,0.789743758936235,-2.210376914336355,0.9322839379310608,0.7097527943495362,0.9849477866631993,-1.278368071572851,0.9359726905822754,0.3194969245598505,0.9706450286514738,-1.368609859028219,0.3034193515777588,,,,0.34464946389198303,,,,0.15359488129615784,,,,0.18286141753196716,,,,0.09002630412578583,,,,0.08023225516080856,,,,0.062368348240852356,,,,0.0478537417948246,,,,0.01674790307879448,,,,0.020691705867648125,,,
63,2.1,1,0.31957072406434095,3,0.9988765120506287,0.5372983571107546,0.7903628730671168,-2.2125694068231683,0.9357912540435791,0.7100675079932226,0.9806666634022765,-1.2948293736575143,0.93876713514328,0.3198075795336617,0.9692676552241071,-1.373871186807882,0.30382657051086426,,,,0.33884337544441223,,,,0.14962077140808105,,,,0.17723777890205383,,,,0.08858834207057953,,,,0.07714775204658508,,,,0.06337250024080276,,,,0.04599565267562866,,,,0.016797546297311783,,,,0.019554222002625465,,,
64,2.1333333333333333,1,0.32042437906448656,3,0.9989243149757385,0.5370396921387068,0.7908993749546599,-2.2146246431639742,0.9382784962654114,0.7102869849997053,0.9777191045957506,-1.3017114913164245,0.9412364959716797,0.3200337462539312,0.9680579465303338,-1.3757921910331565,0.30617794394493103,,,,0.3431881368160248,,,,0.14771150052547455,,,,0.17390994727611542,,,,0.09093081951141357,,,,0.07743147015571594,,,,0.06561710685491562,,,,0.046428631991147995,,,,0.016883956268429756,,,,0.018798107281327248,,,
65,2.1666666666666665,1,0.32145912959598577,3,0.9990026950836182,0.5368567848747497,0.7912101062247469,-2.242346668130126,0.9399469494819641,0.7104280125218732,0.97564996621553,-1.3162675024061468,0.9438218474388123,0.32046193788850164,0.9665367715727747,-1.3833529312642556,0.30636054277420044,,,,0.3472992181777954,,,,0.14543327689170837,,,,0.17184579372406006,,,,0.09501157701015472,,,,0.08058402687311172,,,,0.06703618913888931,,,,0.04646126180887222,,,,0.0173767302185297,,,,0.018788576126098633,,,
66,2.2,1,0.32145912959598577,3,0.9990026950836182,0.5367287497899799,0.7914276181138077,-2.261752085606432,0.9399469494819641,0.7105267317873907,0.9742015693493756,-1.3264567101689524,0.9438218474388123,0.32076167203270095,0.9654719491024834,-1.388645449426025,0.30636054277420044,,,,0.3472992181777954,,,,0.14543327689170837,,,,0.17184579372406006,,,,0.09501157701015472,,,,0.08058402687311172,,,,0.06703618913888931,,,,0.04646126180887222,,,,0.0173767302185297,,,,0.018788576126098633,,,
67,2.2333333333333334,1,0.3127312526966517,3,0.9991090893745422,0.5361894439485975,0.7925658922328117,-2.3350720343034697,0.9297016859054565,0.7109260330843796,0.9740031903719555,-1.3989068459753833,0.9348303079605103,0.321695476731637,0.9660294832243537,-1.4498013768617062,0.2876800000667572,,,,0.31905466318130493,,,,0.13292250037193298,,,,0.1485428661108017,,,,0.08966246247291565,,,,0.07501081377267838,,,,0.06749916821718216,,,,0.04785408079624176,,,,0.01688706874847412,,,,0.016751578077673912,,,
